Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
,Complete,Special Event,Community,,Mobile Food Rodeo (Chinatown-ID),S14MY178,05/03/2014 12:00:00 AM,05/03/2014 12:00:00 AM,,International District,,,Piranha Blonde,5130
,Complete,Special Event,Community,,Opening Day of Boating Season Parade,S14MY122,05/03/2014 12:00:00 AM,05/03/2014 12:00:00 AM,OTHER,Montlake / Portage Bay,,,Seattle Yacht Club,9050
,Complete,Special Event,Free Speech,,Prayer Walk for Our Hood,S14MY225,05/03/2014 12:00:00 AM,05/03/2014 12:00:00 AM,,Central District,,,N/A,200
,Complete,Special Event,Community,,Sounders FC March to the Match (5/3),S14MY228,05/03/2014 12:00:00 AM,05/03/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,Sounders FC,405
,Complete,Special Event,Athletic,Water,UW Opening Day Windermere Cup,S14MY158,05/03/2014 12:00:00 AM,05/03/2014 12:00:00 AM,,Montlake / Portage Bay,,,UW Opening Day Windermere Cup,20000
,Complete,Special Event,Community,,Mobile Food Rodeo,S14MY098,05/03/2014 12:00:00 AM,05/04/2014 12:00:00 AM,,Fremont,,,Piranha Blonde,10260
,Complete,Special Event,Community,,West Seattle Bee Festival,S14MY119,05/04/2014 12:00:00 AM,05/04/2014 12:00:00 AM,,West Seattle,,,High Point Neighborhood Association,550
,Complete,Special Event,Commercial,,Cinco de Mayo (Tacos Guaymas at Green Lake),S14MY080,05/05/2014 12:00:00 AM,05/05/2014 12:00:00 AM,,Green Lake,,,Tacos Guaymas,840
,Complete,Special Event,Commercial,,"National Geographic Live! Student Matinee (5/6, 5/7)",S14MY027,05/06/2014 12:00:00 AM,05/07/2014 12:00:00 AM,,Downtown,,,Benaroya Hall,2540
,Complete,Special Event,Free Speech,,Oromo Community Protest Rally to Denounce Killing of Oromo Students by Ethipoian Government,S14MY235,05/07/2014 12:00:00 AM,05/07/2014 12:00:00 AM,,Downtown,,,Oromo Community of Seattle,400
,Complete,Special Event,Community,,Sounders FC March to the Match (5/7),S14MY236,05/07/2014 12:00:00 AM,05/07/2014 12:00:00 AM,Occidental Park,Pioneer Square,,,Seattle Sounders FC,305
,Complete,Special Event,Community,,Cornish College of the Arts BFA Expo 2014,S14MY226,05/09/2014 12:00:00 AM,05/09/2014 12:00:00 AM,,Cascade / Eastlake / South Lake Union,,,Cornish College of the Arts,400
,Complete,Special Event,Free Speech,,Cannabis Freedom March/Rally,S14MY082,05/10/2014 12:00:00 AM,05/10/2014 12:00:00 AM,Westlake Park,Capitol Hill,,,Cannabis Defense Coaltion,530
,Complete,Special Event,Free Speech,,Celebration Birth of Buddha,S14MY123,05/10/2014 12:00:00 AM,05/10/2014 12:00:00 AM,Hing Hay Park,International District,,,Buddhist Cultural Center of the NW,900
,Complete,Valet Parking,,,Flying House,S14MY140,05/10/2014 12:00:00 AM,05/10/2014 12:00:00 AM,,Fremont,,,Red Carpet Valet,100
,Complete,Valet Parking,,,Fremont Studios (5/3),S14MY143,05/10/2014 12:00:00 AM,05/10/2014 12:00:00 AM,,Fremont,,,Red Carpet Valet,100
,Cancelled,Special Event,Athletic,Run/Walk,Girls on the Run 5K,S14MY029,05/10/2014 12:00:00 AM,05/10/2014 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,,,Run for Good Racing Co.,1600
,Complete,Special Event,Community,,Madrona Mayfair,S14MY120,05/10/2014 12:00:00 AM,05/10/2014 12:00:00 AM,Madrona Park,Madrona / Leschi,,,Madrona Mayfair,520
,Complete,Special Event,Community,,Pierogi Fest,S14MY177,05/10/2014 12:00:00 AM,05/10/2014 12:00:00 AM,,Capitol Hill,,,Polish Home Foundation,975
,Complete,Special Event,Athletic,Run/Walk,Color Run,S14MY021,05/11/2014 12:00:00 AM,05/11/2014 12:00:00 AM,,Multiple Neighborhoods,,,The Color Run,10500
,Cancelled,Special Event,Community,,Greek Week Block Party,S14MY184,05/12/2014 12:00:00 AM,05/12/2014 12:00:00 AM,,University District,,,Greek Week Block Party,3050
